 报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 购买商品、接受劳务支付的现金(万元),3817859,2385089,1230981,4186412,2722157,1783620,1173843,3844831,2574555,2144697,684909,3922319,3157463,1672375,623259,1257610,719681,465489,56184,1003432,870551,405752,143623,2512916,320354,145515,69230,390146,354774,158255,56183, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),464394,313406,167186,561351,431745,291516,155588,513902,375646,290485,118978,400426,292537,193861,102881,204033,154315,102323,47481,189950,136777,92935,42872,132884,68951,42153,16059,45515,30356,19493,6154, 
 支付的各项税费(万元),401000,291020,77324,494278,317820,213738,82629,372415,351105,219174,65948,263024,240798,168477,41962,193719,159715,95269,40084,143299,106096,66835,18879,99006,82639,54104,25013,65418,50675,32331,6630, 
 支付的其他与经营活动有关的现金(万元),743727,433600,234278,728589,512742,369818,188472,693400,656189,366416,189739,624991,447693,219064,191050,303562,193746,136967,69403,280586,231875,136783,59962,265259,174018,92329,35178,124940,120653,69706,25503, 
 经营活动现金流出小计(万元),5426980,3423114,1709769,5970630,3984465,2658691,1600532,5424548,3957496,3020772,1059574,5210761,4138491,2253777,959152,1958924,1227457,800047,213152,1617267,1345299,702305,265335,3010065,645962,334100,145480,626019,556458,279784,94469, 
 经营活动产生的现金流量净额(万元),502315,343535,170623,551879,489339,338552,157390,620668,626195,458112,221322,558363,600247,419126,212914,462626,471257,366024,65058,131759,36097,31774,22816,127886,113543,152180,37857,137818,87894,58381,10216, 
 收回投资所收到的现金(万元),4988,4988,--,--,--,--,--,5057,4610,--,--,103,--,--,--,--,--,0,0,24,24,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),1691,--,--,4200,3938,2244,62,484,396,379,1,25935,25788,11,--,2637,2591,2591,0,2591,2591,--,--,11,11,--,--,860,860,29,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),35728,246,7,452,61,61,--,322,608,608,44,536,143,2,160,29,29,29,29,287,221,216,90,3492,1431,550,--,5575,9,469,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,196,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,158,--,--,--,241,292,7,7,7517,1088,1941,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),42407,5234,7,4652,3999,2305,62,5862,5614,987,45,26769,25931,13,160,2665,2620,2620,29,3061,2837,216,90,3744,1734,557,7,13952,1957,2439,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),117122,60517,17258,122800,91340,60704,26610,158432,100270,60508,36634,126422,59749,33782,19457,26281,20824,11814,6568,40209,33115,18097,12456,32734,17756,11383,4695,30676,8513,6337,2469, 
 投资所支付的现金(万元),1650,650,--,--,10000,--,--,298634,46621,--,--,253391,202340,174315,170683,--,--,0,0,68260,69653,1584,1584,1080,--,--,--,0,57720,44240,20580, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,30,--,--,--,144946,121556,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),1150,1150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,176,--,--,--,59,255,--,--,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),119921,62317,17258,122800,101370,60704,26610,457065,291837,182064,36634,379813,262089,208097,190140,26281,20824,11814,6568,108645,102768,19681,14040,33873,18011,11383,4695,30676,66233,50577,23049, 
 投资活动产生的现金流量净额(万元),-77515,-57083,-17251,-118147,-97371,-58400,-26549,-451203,-286224,-181077,-36588,-353043,-236158,-208084,-189980,-23615,-18204,-9194,-6539,-105584,-99931,-19465,-13950,-30129,-16277,-10826,-4688,-16724,-64276,-48138,-23049, 
 吸收投资收到的现金(万元),13581,10483,7665,18486,8428,5576,6550,17712,10567,8668,2634,13510,1559,579,--,--,--,0,0,245,245,245,--,0,--,--,--,6138,760,760,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,245,245,--,--,--,--,--,80,--,--,--, 
 取得借款收到的现金(万元),32212,1800,616,116518,33591,2661,--,205433,37905,1000,--,217090,177219,99370,--,18995,16517,14617,2632,17950,17950,15050,1970,18560,12060,4960,3960,23280,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,87444,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,43860,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,22,18,18,--,636,614,150,--,700,700,--, 
 筹资活动现金流入小计(万元),45792,12283,8281,178863,42019,8237,6550,223145,135916,9668,2634,230600,178778,99949,--,18995,16517,14617,2632,18195,18217,15313,1988,18560,12696,5574,4110,29418,1460,1460,--, 
 偿还债务支付的现金(万元),30025,2480,--,116839,39284,2500,300,95504,17213,9913,413,186883,130408,99370,--,44405,32791,19570,970,6200,6200,3200,2500,27200,9050,1300,--,25536,16536,14536,13836, 
 分配股利、利润或偿付利息所支付的现金(万元),111766,101815,467,108877,109952,79764,5086,51485,23830,8117,3428,60830,54803,9550,882,31514,31325,6432,3401,34294,17552,16707,294,22597,20270,2223,1371,20530,20458,5298,10, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),786,786,--,--,--,--,--,632,50279,36419,--,--,--,--,--,--,--,0,0,0,--,29,4,0,--,--,--,3184,3871,1937,937, 
 筹资活动现金流出小计(万元),142577,105081,467,225717,149236,82264,5386,147621,91321,54448,3841,247713,185211,108920,882,75919,64116,26002,4371,40494,23752,19936,2799,49797,29320,3523,1371,49249,40865,21771,14782, 
 筹资活动产生的现金流量净额(万元),-96785,-92798,7814,-46854,-107217,-74027,1164,75525,44595,-44780,-1207,-17113,-6433,-8971,-882,-56924,-47600,-11386,-1739,-22299,-5535,-4623,-811,-31237,-16624,2051,2739,-19832,-39405,-20311,-14782, 
 汇率变动对现金及现金等价物的影响(万元),-1712,-1465,-621,-891,148,1602,82,-6613,-3919,-1551,-924,-6409,-778,-366,-41,--,--,0,0,0,-58,-52,-126,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),326303,192189,160566,385988,284899,207727,132087,238377,380647,230704,182602,181797,356878,201704,22011,382087,405454,345445,56780,3875,-69428,7634,7929,66520,80642,143404,35907,101263,-15786,-10068,-27616, 
 加:期初现金及现金等价物余额(万元),1622197,1622197,1622197,1236209,1236209,1236209,1236543,997650,996229,996229,962921,781124,757573,757573,757573,245959,245959,245959,245959,242083,242083,242083,242083,175563,174872,174872,162638,74300,74290,74290,67023, 
 期末现金及现金等价物余额(万元),1948500,1814385,1782763,1622197,1521108,1443936,1368630,1236027,1376876,1226933,1145523,962921,1114451,959277,779583,628045,651412,591404,302739,245959,172655,249717,250012,242083,255514,318276,198545,175563,58503,64222,39407, 
 净利润(万元),--,270154,--,436061,--,239481,--,364766,--,199003,--,282428,--,135647,--,137461,--,81178,0,97870,--,71151,--,75429,--,43115,--,63776,--,37912,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,12316,--,19988,--,2167,--,15757,--,5445,--,4635,--,3161,--,2566,--,126,0,5149,--,4415,--,-3738,--,-31,--,-105,--,1683,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,29850,--,62764,--,27689,--,57750,--,28048,--,43226,--,19470,--,34366,--,16706,0,31396,--,15537,--,30398,--,14377,--,31458,--,15585,--, 
 无形资产摊销(万元),--,4624,--,2375,--,698,--,3630,--,2328,--,1642,--,825,--,1325,--,571,0,1156,--,530,--,1025,--,463,--,711,--,351,--, 
 长期待摊费用摊销(万元),--,620,--,1179,--,777,--,455,--,114,--,77,--,39,--,39,--,10,0,1271,--,1834,--,46,--,58,--,169,--,83,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,387,--,504,--,-76,--,133,--,38,--,304,--,72,--,240,--,21,0,436,--,-13,--,-299,--,-23,--,-254,--,794,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,4165,--,11577,--,7093,--,5239,--,1502,--,10034,--,1010,--,1240,--,880,0,1672,--,756,--,2570,--,2277,--,1084,--,76,--, 
 投资损失(万元),--,-29652,--,-54259,--,-29279,--,-42076,--,-21087,--,-26367,--,-9378,--,-16707,--,-11134,0,-15106,--,-6720,--,-6487,--,-1483,--,-5062,--,-2701,--, 
 递延所得税资产减少(万元),--,-7616,--,-14490,--,-2426,--,-17489,--,-9015,--,-21408,--,85,--,2924,--,-4495,0,-10118,--,-6780,--,-6267,--,-739,--,6,--,-252,--, 
 递延所得税负债增加(万元),--,41,--,340,--,--,--,-43,--,--,--,--,--,-11,--,--,--,74,0,-281,--,-212,--,345,--,--,--,--,--,--,--, 
 存货的减少(万元),--,170574,--,-123828,--,133350,--,-195156,--,-12746,--,-146195,--,-40432,--,10796,--,603,0,105906,--,-62239,--,-123887,--,-26125,--,-47080,--,26571,--, 
 经营性应收项目的减少(万元),--,-385228,--,-378216,--,-43228,--,-192042,--,-287740,--,-191441,--,-205766,--,-134227,--,91872,0,-111781,--,-81987,--,158625,--,66338,--,117918,--,-36017,--, 
 经营性应付项目的增加(万元),--,266515,--,575158,--,2382,--,620173,--,558432,--,591946,--,514404,--,422604,--,189613,0,24189,--,95504,--,127,--,53954,--,117918,--,14297,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,6785,--,12728,--,-76,--,-429,--,-6211,--,9479,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,343535,--,551879,--,338552,--,620668,--,458112,--,558363,--,419126,--,462626,--,366024,0,131759,--,31774,--,127886,--,152180,--,137818,--,58381,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),1948500,1814385,1782763,1622197,1521108,1443936,1368630,1236027,1376876,1226933,1145523,962921,1114451,959277,779583,628045,651412,591404,302739,245959,172655,249717,250012,242083,255514,318276,198545,175563,58503,64222,39407, 
 现金的期初余额(万元),1622197,1622197,1622197,1236209,1236209,1236209,1236543,997650,996229,996229,962921,781124,757573,757573,757573,245959,245959,245959,245959,242083,242083,242083,242083,175563,174872,174872,162638,74300,74290,74290,67023, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),326303,192189,160566,385988,284899,207727,132087,238377,380647,230704,182602,181797,356878,201704,22011,382087,405454,345445,56780,3875,-69428,7634,7929,66520,80642,143404,35907,101263,-15786,-10068,-27616, 

