报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
一年内到期的非流动负债(万元),--,--,--,--,--,--,2200,2500,--,--,--,--,3900,3980,3980,3980,3980,7940,3980,3980,0,--,--,--,--,0,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,123370,0,--,0,0,0,96644,77867,80950,30582,17077,0,--,18373,
流动负债合计(万元),3872282,3433381,3446513,3134124,2960066,2556335,2557496,2593266,2674606,2607179,2036863,1867335,1767287,1640454,1437811,869804,824451,691604,541410,444454,469369,545124,710196,404322,419988,370373,270460,319332,
长期借款(万元),4171,5982,6003,5954,6835,2661,--,--,2500,9000,--,--,3500,7400,7400,0,--,3980,7940,7940,11920,11920,8940,7940,7940,7940,7940,3980,
应付债券(万元),72125,70714,71183,69964,68724,69462,67890,66985,66537,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,94,0,
预计非流动负债(万元),205050,207013,205483,205483,154014,154014,149232,149232,120372,118072,101119,101119,82984,79246,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),1582,1321,1289,1299,943,959,954,948,951,1001,1002,1010,1027,1040,1087,145,127,138,83,64,143,132,210,345,--,0,--,0,
其他非流动负债(万元),9770,9622,9487,9394,9343,9575,7984,8022,8076,8175,8302,8373,4085,4195,15129,4543,741,586,451,496,541,586,631,677,--,0,--,0,
非流动负债合计(万元),292699,294652,293446,292094,239859,236671,226061,225188,198435,136248,110422,110502,91597,91880,23616,4688,868,4704,8474,8500,12604,12639,9781,8961,7940,7940,8034,3980,
负债合计(万元),4164981,3728033,3739959,3426218,3199925,2793006,2783557,2818454,2873041,2743427,2147286,1977837,1858884,1732334,1461427,874491,825319,696308,549883,452954,481973,557763,719978,413284,427928,378313,278494,323312,
实收资本(或股本)(万元),269591,269591,269591,268513,268513,268513,268513,268513,267992,133996,133996,133996,133852,133852,133852,133852,133852,133852,133852,133852,133852,133852,133852,133852,133852,133852,119647,119647,
资本公积(万元),43022,41420,36777,42672,29671,27462,26708,27128,22759,156167,181464,178090,31071,33989,32515,303053,300871,300923,300684,300577,300634,300783,301101,301638,300317,300317,293519,314472,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),172738,172738,172738,172738,166741,166741,166741,166741,146158,146158,146158,146158,136822,136822,136822,123176,116077,116077,116077,116077,113329,113329,113329,113329,147822,147822,135783,107531,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
未分配利润(万元),873059,740355,699148,627027,600325,509398,431880,369551,364371,300755,295989,242902,426946,414881,343584,211993,203461,193470,137295,126895,130405,110209,99395,82093,34305,37588,-16034,42647,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
外币报表折算差额(万元),4513,3986,3234,1906,923,1456,1806,1837,2171,1292,909,847,658,782,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
归属于母公司股东权益合计(万元),1362922,1228089,1181488,1112855,1066173,973570,895648,833769,803452,738367,758516,701993,729349,720326,646773,772073,754260,744322,687907,677401,678220,658172,647678,630911,616295,619579,532915,584297,
少数股东权益(万元),503910,461750,468145,429759,412268,381793,353733,320126,310188,282297,266374,246886,216623,198718,200036,103151,111633,106549,96005,92705,93531,89128,77284,74702,87615,85107,55771,80845,
所有者权益(或股东权益)合计(万元),1866832,1689839,1649632,1542614,1478442,1355363,1249381,1153895,1113639,1020664,1024890,948879,945972,919044,846809,875224,865893,850871,783913,770106,771751,747300,724962,705613,703910,704686,588686,665142,
负债和所有者权益(或股东权益)总计(万元),6031813,5417872,5389591,4968832,4678367,4148369,4032938,3972348,3986680,3764091,3172176,2926716,2804856,2651379,2308236,1749715,1691212,1547179,1333796,1223060,1253724,1305063,1444939,1118897,1131838,1082999,867180,988454,		
  
