报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业税金及附加(万元),1154500,585181,410927,132726,1091630,524954,330068,114641,777879,349217,252309,109414,562411,222589,169834,74551,360258,220999,163582,85557,453387,248004,203914,64768,411577,170062,131017,51235,157954,50302,39319,13659,77948,
销售费用(万元),386471,232167,143110,62340,305638,210494,123838,58224,255678,168937,95675,39352,207909,100673,60640,29329,151372,93448,55145,23858,186035,113378,70918,27841,119454,71114,40696,18410,62572,37260,21778,9530,46629,
管理费用(万元),300284,188110,119221,57273,278031,159651,84380,50646,257821,127136,87024,56268,184637,86629,56327,30925,144199,88737,56903,28281,153080,100371,81674,37161,176377,98629,58613,27908,85946,45159,29118,9232,49537,
财务费用(万元),89172,82541,37478,29950,76476,67041,42371,12931,50981,19488,19167,14924,50423,29715,26133,10559,57368,42434,23710,18432,65725,27286,20077,13309,35950,27908,17815,2593,14015,6605,2795,1187,1970,
资产减值损失(万元),6015,4923,7790,1707,8382,13135,10032,3728,6463,9128,6844,3871,-54545,-21969,-23213,-17295,-52424,-23815,-22265,65,126811,56484,977,724,1857,729,1903,20,1740,2153,1737,1587,2450,
公允价值变动收益(万元),-57,-39,146,146,-872,-927,-227,-1035,-287,-1045,363,-194,-1505,-1628,-581,-108,244,169,-185,-215,1926,1965,-302,-1532,-2225,-130,171,59,130,99,99,0,0,
投资收益(万元),100519,51556,38754,3533,92869,67227,47295,12532,69972,8864,2833,-1235,77793,51650,49474,6786,92408,31424,16211,3543,20941,6814,2250,697,20803,477,-1029,-297,17081,12925,9956,6523,-13,
对联营企业和合营企业的投资收益(万元),99940,50936,38763,3505,88979,62667,42252,7626,64399,2890,777,-1780,29170,8528,9444,895,54186,17959,14504,1897,20974,7466,2178,697,12864,-3183,0,-293,6010,2201,0,803,-208,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业利润(万元),2426134,997047,710521,239514,2101304,815293,601233,203690,1576322,560308,441787,164889,1189489,500814,411831,154195,868508,502274,419085,123159,636479,375833,332748,102814,765290,297620,254119,82959,342691,204439,181797,59117,192283,
营业外收入(万元),11897,7816,5571,1853,14465,7593,4941,2852,7619,6529,4237,2970,7173,7204,4293,1849,7068,7515,4592,1564,5746,4624,4097,642,3146,1387,1004,578,2131,1077,799,292,2826,
营业外支出(万元),8930,4760,2751,1879,8750,6288,1307,728,3352,1817,843,413,2586,1743,1310,883,13833,8081,4576,1955,9996,5415,4049,1174,4275,3640,2469,462,1372,960,421,249,1044,
非流动资产处置损失(万元),682,656,646,624,607,39,34,20,114,63,48,8,121,4,87,6,158,-87,-98,12,234,95,33,0,68,29,7,1,129,95,18,0,13,
利润总额(万元),2429101,1000103,713341,239489,2107019,816598,604867,205814,1580588,565020,445181,167445,1194075,506275,414814,155161,861743,501708,419101,122768,632229,375042,332796,102283,764161,295367,252654,83075,343449,204555,182175,59159,194064,
所得税费用(万元),599346,252389,179752,60552,540760,201981,151319,52760,420628,154385,119929,48449,310114,123710,98732,37566,218742,134710,109078,33914,168242,111610,102129,28110,232410,86307,72568,21464,101150,58907,54500,18048,52499,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
净利润(万元),1829755,747714,533589,178937,1566259,614617,453548,153055,1159961,410635,325252,118996,883961,382565,316082,117596,643001,366998,310023,88854,463987,263432,230667,74173,531750,209060,180086,61611,242300,145649,127675,41111,141565,
归属于母公司所有者的净利润(万元),1511855,616022,455630,161390,1255118,507989,372509,139594,962488,358391,297785,120514,728313,327200,281250,112658,532974,295759,252439,76876,403317,227654,206106,71813,484424,191689,166800,61235,229788,145337,127058,41024,136469,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),317900,131693,77959,17547,311141,106629,81039,13461,197473,52244,27466,-1517,155648,55364,34832,4938,110027,71239,57583,11978,60670,35778,24561,2360,47327,17371,13287,376,12511,312,617,88,5096,
基本每股收益,1.37,0.56,0.41,0.15,1.14,0.46,0.34,0.13,0.88,0.33,0.27,0.11,0.66,0.3,0.26,0.1,0.48,0.27,0.23,0.07,0.37,0.21,0.19,0.11,0.73,0.29,0.25,0.14,0.39,0.37,0.33,0.11,0.26,
稀释每股收益,1.37,0.56,0.41,0.15,1.14,0.46,0.34,0.13,0.88,0.33,0.27,0.11,0.66,0.3,0.26,0.1,0.48,0.27,0.23,0.07,0.37,0.21,0.19,0.11,0.73,0.29,0.25,0.14,0.39,0.37,0.32,0.1,0.25,
