报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
长期借款(万元),3668313,3100336,2445025,2828945,3603607,3583064,3673980,3126002,2097196,2232280,2393777,2079673,2479050,2331764,1962535,1663516,1750280,1765640,1343964,1216897,917412,992391,1369873,1648598,1636208,1777054,1587031,1230961,945288,118128,
应付债券(万元),739839,480900,483178,494591,--,587362,586575,585801,585040,584290,583553,582590,582114,581412,580722,580042,579374,578716,578069,577432,576802,576175,0,--,0,--,0,0,0,84351,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,254998,0,0,5700,42857,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,1249,818,336,1739,0,
预计非流动负债(万元),4688,6128,5855,5108,4429,6244,5790,5474,3868,4061,4544,5750,4111,4357,3361,3761,3436,3243,3039,3394,4173,4502,4038,3958,3796,6226,3339,3300,3168,2398,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,0,--,0,
递延所得税负债(万元),67272,69690,70078,71984,73381,79668,78797,78210,77891,74675,72909,73273,73899,72364,73326,78653,80246,78536,80593,84526,86780,90298,90222,97966,99100,2543,1886,4625,89112,61650,
其他非流动负债(万元),4296,3802,3382,2442,1568,1535,1467,1280,1180,4483,1055,930,882,855,874,789,841,1179,1972,1522,1264,1894,1473,1527,991,--,0,0,0,1920,
非流动负债合计(万元),4484407,3660856,3007518,3403070,3682985,4257874,4346609,3796767,2765174,2899790,3055838,2742215,3140056,2990752,2620817,2326761,2414176,2427313,2007637,1883771,1586431,1665259,1465606,1752050,1740096,2042071,1593074,1239222,1045007,311304,
负债合计(万元),37376590,36677126,34417648,33326782,29666342,27613374,26056721,24131580,22837590,22365205,20315280,17922959,16105135,13859856,11209286,10100245,9220004,8713836,8271499,8510154,8041803,8461362,7527824,7058038,6617494,6557110,4543295,3222737,3246634,1400010,
实收资本(或股本)(万元),1101497,1101487,1101372,1100676,1099555,1099544,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,1099521,687201,687201,687201,655485,436990,436990,372269,
资本公积(万元),853222,889438,888419,881591,868386,867461,875315,887769,884346,883371,879442,884407,878934,885303,886592,903257,855772,849697,850763,788387,785314,780299,795370,1295931,1283047,1266322,295642,542384,531501,111966,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,0,--,0,
盈余公积(万元),2013541,1701705,1701705,1701705,1701705,1364873,1364873,1364873,1364873,1058771,1058771,1058771,1058771,873784,873784,873784,873784,658198,658198,658198,658198,539547,539547,539547,539547,440209,440209,440209,440209,289384,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
未分配利润(万元),3670689,3086692,2926300,2830200,2668810,2258513,2123033,2033055,1893462,1595467,1534862,1467542,1347028,1130903,1084952,993498,880840,859211,815891,695304,618428,561245,539697,475104,403291,209894,185005,144383,83148,63359,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,0,--,0,0,0,0,
外币报表折算差额(万元),50649,47242,46666,43628,44099,41786,47240,50612,54578,52441,47858,43041,39013,36012,32446,27859,27672,27648,27754,27684,27731,28310,27860,22591,14780,6858,5067,1695,1007,363,
归属于母公司股东权益合计(万元),7689598,6826564,6664463,6557800,6382555,5632176,5509982,5435831,5296780,4689571,4620453,4553282,4423268,4025522,3977295,3897919,3737589,3494275,3452127,3269095,3189193,3008923,3001995,3020373,2927865,2610483,1581408,1565661,1492855,837341,
少数股东权益(万元),2854344,2610090,2142085,1904842,1831264,1531910,1473416,1476240,1486474,1265804,1160295,1059642,1035352,908151,864686,841432,803262,742140,728367,704140,692662,676242,580305,527612,464088,335140,242331,229460,252496,54110,
所有者权益(或股东权益)合计(万元),10543942,9436654,8806548,8462643,8213819,7164086,6983397,6912071,6783254,5955375,5780748,5612924,5458620,4933673,4841981,4739351,4540851,4236415,4180494,3973235,3881855,3685165,3582300,3547986,3391952,2945623,1823739,1795121,1745350,891450,
负债和所有者权益(或股东权益)总计(万元),47920532,46113780,43224196,41789425,37880162,34777460,33040118,31043650,29620844,28320581,26096028,23535883,21563755,18793530,16051266,14839596,13760855,12950251,12451993,12483390,11923658,12146528,11110124,10606024,10009447,9502733,6367034,5017858,4991984,2291460,		
  
