 报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-60,--,2,--,-12,--,--,--,7,--,--,--,-34,--,112,-1, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 财务费用(万元),-212,--,-88,--,-340,--,-34,--,-479,--,-68,--,371,--,311,601, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,-13,0, 
 递延所得税资产减少(万元),-23,--,7,--,-5,--,-19,--,10,--,1,--,-8,--,-20,13, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存货的减少(万元),170,--,-132,--,888,--,11978,--,-586,--,-408,--,-1592,--,-520,-383, 
 经营性应收项目的减少(万元),-1258,--,-1366,--,175,--,-5643,--,2645,--,-2249,--,167,--,-2654,745, 
 经营性应付项目的增加(万元),1832,--,988,--,-2574,--,-8041,--,-4381,--,1285,--,-2172,--,423,-249, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 经营活动产生现金流量净额(万元),4885,--,1689,--,2424,--,-576,--,3859,--,2752,--,3287,--,3051,4223, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 现金的期末余额(万元),29147,26877,26574,31111,29993,29517,27295,29329,32506,32970,36092,37764,864,2584,4149,389, 
 现金的期初余额(万元),29993,29993,29993,29993,32506,32506,32506,32506,864,864,864,864,4149,4149,389,691, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 现金及现金等价物的净增加额(万元),-847,-3117,-3420,1118,-2513,-2989,-5211,-3177,31641,32106,35227,36899,-3285,-1565,3760,-302, 

